geometry,GCX_OID,Area,Line,Tag No,Date Checked,Baited With,Baited On,Status,Comment,User ID,Trap Type,Trap No,E,N
"X: 1509235.2184, Y: 5242279.5286, Z: NaN",0,Poulter Valley,Poulter Vehicle Track,PVT21,2021-02-02T21:26:42.0000000,Erayz / Egg,2021-02-02T21:26:42.0000000,Maintenance required functioning,bring tools to reposition rebar ,Josh Humphreys,DOC 200 Double,21,1509235,5242280
"X: 1507122.4959, Y: 5248486.7645, Z: NaN",1,Poulter Valley,Poulter Stag,PS22,2021-02-02T22:15:15.0000000,Erayz Block,2021-02-02T22:15:15.0000000,Maintenance required functioning,replace lid nail,Paul Guest,DOC 150 Single,22,1507122,5248487
"X: 1507747.3272, Y: 5249725.5588, Z: NaN",2,Poulter Valley,Poulter O Line,L12,2021-01-06T03:05:46.0000000,No Bait,2021-01-06T03:05:46.0000000,Maintenance required functioning,replace 1x fenn,Alicia Mason ,Mk4 Fenn Double,12,1507747,5249726
"X: 1508454.8477, Y: 5253194.5724, Z: NaN",3,Poulter Valley,Poulter Back Terrace,BT29,2021-01-08T23:21:50.0000000,Erayz / Egg,2021-01-08T23:21:50.0000000,Maintenance required not functioning,empty box,Paul Guest,Mk4 Fenn Double,29,1508455,5253195
"X: 1510278.132, Y: 5245210.6707, Z: NaN",4,Poulter Valley,Poulter East Poulter,P18,2021-02-06T22:21:51.0000000,Muscattract,2021-02-06T22:21:51.0000000,Maintenance required functioning,one trap. one end baffle needs repair.,Paul Guest,Mk4 Fenn Double,18,1510278,5245211
"X: 1506926.037, Y: 5255017.7285, Z: NaN",5,Poulter Valley,Poulter Mid Terrace,MT13,2021-01-07T22:49:47.0000000,Erayz / Egg,2021-01-07T22:49:47.0000000,Maintenance required functioning,"replace one rusted trap, bait skewer",Josh Humphreys,Mk4 Fenn Double,13,1506926,5255018
"X: 1507301.4402, Y: 5252667.4133, Z: NaN",6,Poulter Valley,Poulter Fenwick,PF27,2021-01-07T19:46:44.0000000,Erayz / Egg,2021-01-07T19:46:44.0000000,Maintenance required not functioning,traps gone,Josh Humphreys,Mk4 Fenn Double,27,1507301,5252667
"X: 1509233.897, Y: 5245206.4812, Z: NaN",7,Poulter Valley,Poulter Brown,PB27,2021-01-06T22:58:16.0000000,Erayz Block,2021-01-06T22:58:16.0000000,Maintenance required functioning,"fenn needs replacing, Is missing brass latch ",Alicia Mason ,Mk4 Fenn Double,27,1509234,5245206
"X: 1502994.602, Y: 5255330.9143, Z: NaN",8,Poulter Valley,Poulter Poulter Hut,PM12,2021-02-05T22:31:47.0000000,No Bait,2021-02-05T22:31:47.0000000,Maintenance required functioning,only one fenn ,Josh Humphreys,Mk4 Fenn Double,12,1502995,5255331
"X: 1503278.1293, Y: 5255390.5314, Z: NaN",9,Poulter Valley,Poulter Poulter Hut,PM15,2021-02-05T21:34:30.0000000,No Bait,2021-02-05T21:34:30.0000000,Maintenance required functioning,single fenn only,Josh Humphreys,Mk4 Fenn Double,15,1503278,5255391
